date,total_assets,securities_value,cash,cum_fees,cum_interest,cum_realized_pnl,unrealized_pnl
2026-01-30,2496.4679,297.77,2198.6979,2.9701,0.0,0.0,-0.562
2026-01-31,2496.4679,297.77,2198.6979,2.9701,0.0,0.0,-0.562
2026-02-01,2496.4679,297.77,2198.6979,2.9701,0.0,0.0,-0.562
2026-02-02,2487.9016,2293.1644,194.7372,6.9308,0.0,0.0,-5.1676
2026-02-03,2463.048,2268.3108,194.7372,6.9308,0.0,0.0,-30.0212
2026-02-04,2398.8961,2204.1589,194.7372,6.9308,0.0,0.0,-94.1731
2026-02-05,2354.415,2360.668,-6.253,7.921,0.0,0.0,-137.664
2026-02-06,2443.1856,2449.4386,-6.253,7.921,0.0,0.0,-48.8934
2026-02-07,2443.1856,2449.4386,-6.253,7.921,0.0,0.0,-48.8934
2026-02-08,2443.1856,2449.4386,-6.253,7.921,0.0,0.0,-48.8934
2026-02-09,2489.7728,2496.0258,-6.253,7.921,0.0,0.0,-2.3062
2026-02-10,2492.1652,2498.4182,-6.253,7.921,0.0,0.0,0.0862
2026-02-11,2486.4325,2503.8772,-17.4447,9.9047,0.0,-3.5736,-1.0828
2026-02-12,2428.4427,2445.8874,-17.4447,9.9047,0.0,-3.5736,-59.0726
2026-02-13,2426.3189,2443.7636,-17.4447,9.9047,0.0,-3.5736,-61.1964
2026-02-14,2426.3189,2443.7636,-17.4447,9.9047,0.0,-3.5736,-61.1964
2026-02-15,2426.3189,2443.7636,-17.4447,9.9047,0.0,-3.5736,-61.1964
2026-02-16,2426.3189,2443.7636,-17.4447,9.9047,0.0,-3.5736,-61.1964
2026-02-17,2429.7902,2447.2349,-17.4447,9.9047,0.0,-3.5736,-57.7251
2026-02-18,2452.6557,2470.1004,-17.4447,9.9047,0.0,-3.5736,-34.8596
2026-02-19,2442.415,2459.8597,-17.4447,9.9047,0.0,-3.5736,-45.1003
2026-02-20,2446.4801,2463.9248,-17.4447,9.9047,0.0,-3.5736,-41.0352
2026-02-21,2446.4801,2463.9248,-17.4447,9.9047,0.0,-3.5736,-41.0352
2026-02-22,2446.4801,2463.9248,-17.4447,9.9047,0.0,-3.5736,-41.0352
2026-02-23,2405.196,2422.0427,-16.8467,11.8867,0.0,-4.6677,-80.235
2026-02-24,2439.6647,2389.5155,50.1492,14.8608,0.0,-1.8496,-47.5845
2026-02-25,2461.5577,2481.0786,-19.5209,15.8509,0.0,-1.8496,-24.7014
2026-02-26,2426.3373,2445.8582,-19.5209,15.8509,0.0,-1.8496,-59.9218
2026-02-27,2362.5629,2382.0838,-19.5209,15.8509,0.0,-1.8496,-123.6962
2026-02-28,2362.5629,2382.0838,-19.5209,15.8509,0.0,-1.8496,-123.6962
2026-03-01,2362.5629,2382.0838,-19.5209,15.8509,0.0,-1.8496,-123.6962
2026-03-02,2371.3471,2390.868,-19.5209,15.8509,0.0,-1.8496,-114.912
2026-03-03,2346.5749,2366.0958,-19.5209,15.8509,0.0,-1.8496,-139.6842
2026-03-04,2383.2342,2402.7551,-19.5209,15.8509,0.0,-1.8496,-103.0249
2026-03-05,2357.878,2377.3989,-19.5209,15.8509,0.0,-1.8496,-128.3811
2026-03-06,2310.9809,2330.5018,-19.5209,15.8509,0.0,-1.8496,-175.2782
2026-03-07,2310.9809,2330.5018,-19.5209,15.8509,0.0,-1.8496,-175.2782
2026-03-08,2310.9809,2330.5018,-19.5209,15.8509,0.0,-1.8496,-175.2782
2026-03-09,2350.9511,2370.472,-19.5209,15.8509,0.0,-1.8496,-135.308
2026-03-10,2356.05,2375.5709,-19.5209,15.8509,0.0,-1.8496,-130.2091
2026-03-11,2353.051,2372.5719,-19.5209,15.8509,0.0,-1.8496,-133.2081
2026-03-12,2298.2106,2317.7315,-19.5209,15.8509,0.0,-1.8496,-188.0485
2026-03-13,2274.2965,2293.8174,-19.5209,15.8509,0.0,-1.8496,-211.9626
2026-03-14,2274.2965,2293.8174,-19.5209,15.8509,0.0,-1.8496,-211.9626
2026-03-15,2274.2965,2293.8174,-19.5209,15.8509,0.0,-1.8496,-211.9626
2026-03-16,2305.4109,2324.9318,-19.5209,15.8509,0.0,-1.8496,-180.8482
2026-03-17,2314.5784,2334.0993,-19.5209,15.8509,0.0,-1.8496,-171.6807
2026-03-18,2295.7922,2315.3131,-19.5209,15.8509,0.0,-1.8496,-190.4669
2026-03-19,2299.1663,2318.6872,-19.5209,15.8509,0.0,-1.8496,-187.0928
2026-03-20,2264.4069,2283.9278,-19.5209,15.8509,0.0,-1.8496,-221.8522
2026-03-21,2264.4069,2283.9278,-19.5209,15.8509,0.0,-1.8496,-221.8522
2026-03-22,2264.4069,2283.9278,-19.5209,15.8509,0.0,-1.8496,-221.8522
2026-03-23,2296.4242,2315.9451,-19.5209,15.8509,0.0,-1.8496,-189.8349
2026-03-24,2296.5791,2316.1,-19.5209,15.8509,0.0,-1.8496,-189.68
2026-03-25,2334.8346,2354.9975,-20.1629,17.8329,0.0,-7.0447,-145.2393
2026-03-26,2268.0417,2288.2046,-20.1629,17.8329,0.0,-7.0447,-212.0323
2026-03-27,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-28,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-29,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-30,2210.3281,2230.491,-20.1629,17.8329,0.0,-7.0447,-269.7458
2026-03-31,2296.1919,2316.3548,-20.1629,17.8329,0.0,-7.0447,-183.882
2026-04-01,2324.3232,2344.4861,-20.1629,17.8329,0.0,-7.0447,-155.7507
2026-04-02,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-03,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-04,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-05,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-06,2351.5292,2371.6921,-20.1629,17.8329,0.0,-7.0447,-128.5447
2026-04-07,2352.1433,2372.3062,-20.1629,17.8329,0.0,-7.0447,-127.9306
2026-04-08,2423.187,2019.302,403.885,20.815,0.0,-17.4266,-46.5057
2026-04-09,2440.7398,2036.8548,403.885,20.815,0.0,-17.4266,-28.953
2026-04-10,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-11,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-12,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-13,2455.2036,2226.8434,228.3602,27.7598,0.0,-19.9835,-7.9666
2026-04-14,2483.9624,2255.6022,228.3602,27.7598,0.0,-19.9835,20.7922
2026-04-15,2496.0289,2267.6687,228.3602,27.7598,0.0,-19.9835,32.8587
2026-04-16,2500.6349,2272.2747,228.3602,27.7598,0.0,-19.9835,37.4647
2026-04-17,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-18,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-19,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-20,2516.4678,2485.2379,31.2299,31.7301,0.0,-15.3864,51.6709
2026-04-21,2505.2553,2474.0254,31.2299,31.7301,0.0,-15.3864,40.4584
2026-04-22,2527.5737,2496.1538,31.4199,31.7301,0.19,-15.3864,62.5867
